	date	avg_score	weighted_score
119	2021-04-30	14.183749999999998	15.229626644370983
120	2021-05-01	7.784374999999999	8.55338577829824
121	2021-05-02	7.275625	7.876967140032282
122	2021-05-03	10.69125	11.241016388038208
123	2021-05-04	13.711875000000003	14.89225900993271
124	2021-05-05	11.524999999999999	11.877651715221065
125	2021-05-06	12.346875	12.54573345385186
126	2021-05-07	9.10375	9.477377487675165
127	2021-05-08	10.528749999999999	11.090327954831839
128	2021-05-09	9.941249999999998	10.39710217433253
129	2021-05-10	16.621875000000003	16.587626054061133
130	2021-05-11	12.681249999999999	13.154838629601693
131	2021-05-12	11.491874999999999	11.823103417103043
132	2021-05-13	37.75562500000001	37.64252316192361
133	2021-05-14	18.854375	19.591833372699607
134	2021-05-15	14.25125	15.07922692623596
135	2021-05-16	14.475624999999997	15.406998699377647
136	2021-05-17	29.490000000000006	30.488040353070637
137	2021-05-18	19.99	21.152366731040658
138	2021-05-19	92.18375	92.52458698761049
139	2021-05-20	53.48562499999999	55.13215745354626
140	2021-05-21	35.636250000000004	37.22837700655913
141	2021-05-22	22.949375000000003	24.989454941093687
142	2021-05-23	41.141875000000006	44.467060109535275
143	2021-05-24	32.60249999999999	34.536790053217544
144	2021-05-25	21.313125	22.649547827073853
145	2021-05-26	16.87375	18.013921458082535
146	2021-05-27	12.87875	13.709759844853895
147	2021-05-28	14.296874999999998	15.347278084458038
148	2021-05-29	12.478750000000002	13.50274821663414
149	2021-05-30	10.318125000000002	11.354472073713318
150	2021-05-31	11.260625000000001	12.180659133890408
151	2021-06-01	21.326875	21.970467202121682
152	2021-06-02	21.60125	22.594488191162135
153	2021-06-03	23.844375	24.905533620578158
154	2021-06-04	22.98625	23.72942361266437
155	2021-06-05	19.044375	19.691580456985314
156	2021-06-06	17.084374999999998	17.825065704827633
157	2021-06-07	16.931875	17.50341814216494
158	2021-06-08	35.049375	36.586852196656466
159	2021-06-09	26.640625	27.77250480409783
160	2021-06-10	21.431874999999998	23.04647770732792
161	2021-06-11	18.682499999999997	20.787746501345516
162	2021-06-12	13.583749999999998	14.901788953295634
163	2021-06-13	10.565	11.810536545719474
164	2021-06-14	24.856249999999996	26.40988601959323
165	2021-06-15	16.89625	18.199046637303482
166	2021-06-16	13.50125	14.582916748500613
167	2021-06-17	11.49625	12.067795812976183
168	2021-06-18	13.61875	14.754632290145524
169	2021-06-19	10.429375000000004	11.63387130508223
170	2021-06-20	12.6225	14.09864879229065
171	2021-06-21	23.916874999999997	25.51258704214599
172	2021-06-22	42.140625	44.18300429638959
173	2021-06-23	22.5825	24.386217759728662
174	2021-06-24	14.273750000000001	14.696314520922284
175	2021-06-25	14.143750000000002	14.910316372181153
176	2021-06-26	13.829375000000002	15.271303142779695
177	2021-06-27	12.452499999999999	13.915830156088195
178	2021-06-28	15.57125	16.602937341790266
179	2021-06-29	12.751875	13.797374260991878
180	2021-06-30	11.10625	11.81371189685619
181	2021-07-01	14.451249999999998	15.673650812191926
182	2021-07-02	12.133125	13.363272488183057
183	2021-07-03	9.722499999999998	11.13876034807892
184	2021-07-04	11.375000000000002	13.28277458650981
185	2021-07-05	11.328750000000003	12.619225570218315
186	2021-07-06	11.370000000000001	12.826444552450923
187	2021-07-07	10.256250000000001	11.256150175023311
188	2021-07-08	10.59875	11.694328870143748
189	2021-07-09	9.495624999999999	10.189833341255719
190	2021-07-10	8.946875000000002	9.84551377408083
191	2021-07-11	7.428125	8.197594718262158
192	2021-07-12	9.65375	10.175120038882334
193	2021-07-13	8.040625	8.635587166079121
194	2021-07-14	9.209999999999997	9.932601664781876
195	2021-07-15	10.483749999999999	10.976320040798447
196	2021-07-16	10.85625	11.719535615545418
197	2021-07-17	7.551249999999999	8.275896517429802
198	2021-07-18	8.10625	9.202380699004987
199	2021-07-19	12.273750000000001	12.844178156889523
200	2021-07-20	19.5275	20.30153076827366
201	2021-07-21	15.97125	17.45375318538247
202	2021-07-22	13.955625	14.472126994736955
203	2021-07-23	11.779375	13.058087263420063
204	2021-07-24	10.091875	11.068855953464029
205	2021-07-25	10.089375	11.086286939965637
206	2021-07-26	35.50749999999999	36.410119797525944
207	2021-07-27	20.775625	22.340954918923284
208	2021-07-28	19.388125	20.5238873611172
209	2021-07-29	14.518125	14.830392745207357
210	2021-07-30	11.513125000000002	12.609505901071882
211	2021-07-31	13.428125	14.569265236190885
212	2021-08-01	14.223124999999998	15.600596685838841
213	2021-08-02	15.664374999999998	16.725873345987043
214	2021-08-03	13.189375	14.295280945606127
215	2021-08-04	12.924374999999998	13.358857487581814
216	2021-08-05	13.393125	13.837755530408636
217	2021-08-06	17.385625	18.32545353815587
218	2021-08-07	20.480625000000003	22.543279195802928
219	2021-08-08	19.165	20.512042661248493
220	2021-08-09	25.09375	26.404518550481015
221	2021-08-10	19.920625	21.36342534355211
222	2021-08-11	22.4175	23.87687982305935
223	2021-08-12	19.893125	21.248833853078686
224	2021-08-13	19.021874999999998	19.98156275014626
225	2021-08-14	16.4825	17.7188908709183
226	2021-08-15	14.271875000000001	15.558117800839087
227	2021-08-16	16.074375000000003	16.947890672797246
228	2021-08-17	14.605	15.865631543721681
229	2021-08-18	13.991875	14.664354920667442
230	2021-08-19	13.440625	13.823423245655247
231	2021-08-20	18.144375000000004	19.652044601925915
232	2021-08-21	18.431875	19.45694142728472
233	2021-08-22	16.738125	18.19377031738797
234	2021-08-23	27.978125	29.473423675552148
235	2021-08-24	19.946874999999995	20.28798294709554
236	2021-08-25	15.628124999999999	16.650094492566286
237	2021-08-26	13.03125	13.79426546403624
238	2021-08-27	12.803125	13.251134006601008
239	2021-08-28	10.0775	10.882974439435941
240	2021-08-29	9.94125	10.522454514758794
241	2021-08-30	9.928125000000001	10.720507172706903
242	2021-08-31	11.691875	12.564550205631969
