	date	bitcoin	btc	bitcoin price	bitcoin kurs	bitcoin usd	bitcoin stock	bitcoin dollar	bitcoin euro	buy bitcoin	buy btc	btc usd	btc inr	price btc	btc stock	btc coin	btc euro
80	2021-03-22	20.009999999999998	19.2	14.950000000000001	19.8	16.75	18.599999999999998	25.009999999999998	41.440000000000005	11.549999999999999	6.49	18.72	33.6	12.8	11.270000000000001	18.75	19.27
81	2021-03-23	19.040000000000003	21.39	15.64	20.099999999999998	17.82	20.299999999999997	18.72	37.44	7.35	12.18	21.96	17.16	13.86	14.580000000000002	37.260000000000005	36.72
82	2021-03-24	23.56	22.72	22.400000000000002	19.2	21.39	28.0	26.459999999999997	47.85	27.880000000000003	31.15	22.4	15.049999999999999	12.8	15.12	16.59	17.6
83	2021-03-25	26.88	30.78	24.939999999999998	23.76	24.49	32.76	26.88	45.050000000000004	19.240000000000002	25.740000000000002	31.28	19.95	19.71	17.7	12.959999999999999	28.669999999999998
84	2021-03-26	20.009999999999998	22.01	17.0	15.600000000000001	18.900000000000002	22.11	24.8	28.56	11.66	13.5	21.7	20.09	11.600000000000001	14.0	7.800000000000001	15.54
85	2021-03-27	15.600000000000001	19.22	13.86	11.270000000000001	16.25	6.800000000000001	16.919999999999998	28.32	12.540000000000001	8.67	19.14	26.52	12.35	2.72	10.71	17.6
86	2021-03-28	13.92	15.39	11.02	11.75	13.34	4.2	17.28	15.120000000000001	12.32	18.900000000000002	14.7	22.5	6.44	2.47	26.97	12.25
87	2021-03-29	17.55	19.43	14.72	17.360000000000003	18.36	17.689999999999998	21.080000000000002	31.0	10.12	25.080000000000002	20.060000000000002	14.560000000000002	7.99	13.68	12.25	17.55
88	2021-03-30	19.040000000000003	21.76	17.75	18.9	17.98	17.01	29.759999999999998	46.64	20.520000000000003	6.82	24.05	20.130000000000003	10.799999999999999	21.75	9.690000000000001	31.959999999999997
89	2021-03-31	20.299999999999997	20.46	15.6	16.520000000000003	16.1	19.43	23.369999999999997	40.18	15.680000000000001	21.200000000000003	21.46	16.799999999999997	11.02	10.64	23.87	14.569999999999999
90	2021-04-01	17.669999999999998	17.28	11.22	21.44	14.3	19.470000000000002	30.53	24.64	11.73	8.5	19.0	26.180000000000003	7.38	22.63	11.48	22.36
91	2021-04-02	14.560000000000002	16.830000000000002	11.73	19.53	12.48	9.600000000000001	15.84	26.68	11.44	11.4	20.35	27.880000000000003	7.38	7.04	12.870000000000001	22.01
92	2021-04-03	12.22	14.209999999999999	9.66	14.580000000000002	16.240000000000002	2.08	17.68	17.94	12.88	26.22	15.510000000000002	23.400000000000002	7.3100000000000005	2.4000000000000004	13.44	13.780000000000001
93	2021-04-04	11.04	13.34	8.36	11.76	10.35	2.64	17.490000000000002	30.72	10.14	15.04	15.81	22.57	4.760000000000001	2.52	27.900000000000002	24.3
94	2021-04-05	12.22	14.7	10.34	12.5	12.25	13.75	15.040000000000001	30.78	10.4	7.840000000000001	13.440000000000001	33.6	6.630000000000001	17.92	23.4	22.95
95	2021-04-06	12.22	12.88	9.200000000000001	15.96	10.12	13.23	14.879999999999999	28.6	10.78	16.520000000000003	11.96	18.56	6.630000000000001	15.96	16.2	21.12
96	2021-04-07	12.690000000000001	15.0	8.6	12.48	10.12	11.040000000000001	18.240000000000002	27.439999999999998	10.5	16.2	12.32	11.84	6.460000000000001	12.88	11.44	32.480000000000004
97	2021-04-08	11.04	11.88	8.36	13.72	8.200000000000001	11.5	16.2	24.400000000000002	10.56	2.53	13.5	15.36	4.760000000000001	10.709999999999999	20.16	14.560000000000002
98	2021-04-09	9.43	10.5	7.41	9.24	6.66	9.66	12.420000000000002	19.0	12.5	2.88	10.75	21.349999999999998	2.88	8.82	17.490000000000002	22.400000000000002
99	2021-04-10	12.48	15.81	9.87	12.75	12.0	4.35	25.009999999999998	33.480000000000004	15.079999999999998	8.200000000000001	18.02	21.599999999999998	5.92	3.22	19.470000000000002	21.96
100	2021-04-11	11.04	14.7	9.66	14.040000000000001	10.58	3.7800000000000002	16.5	25.419999999999998	12.42	10.080000000000002	14.7	29.82	5.55	1.82	10.8	12.040000000000001
101	2021-04-12	12.22	14.399999999999999	9.9	15.659999999999998	12.74	14.399999999999999	24.79	20.16	13.23	9.0	14.520000000000001	17.98	5.7	6.08	10.200000000000001	18.04
102	2021-04-13	22.049999999999997	23.56	19.139999999999997	24.14	19.84	28.88	52.51	34.02	27.38	16.25	26.6	38.0	13.110000000000001	21.7	30.400000000000002	47.309999999999995
103	2021-04-14	28.470000000000002	26.52	24.32	30.0	27.75	50.0	56.05	50.16	42.75	19.61	27.72	27.52	19.44	39.9	37.24	42.9
104	2021-04-15	20.130000000000003	18.150000000000002	17.080000000000002	17.4	17.36	32.8	22.8	33.6	31.68	21.45	18.360000000000003	25.549999999999997	11.22	21.599999999999998	25.48	60.68
105	2021-04-16	23.099999999999998	21.599999999999998	18.27	17.689999999999998	17.099999999999998	34.86	30.6	37.260000000000005	59.17	41.6	19.8	37.8	10.81	14.4	47.53	14.57
106	2021-04-17	15.95	16.12	12.959999999999999	14.560000000000002	10.58	9.02	21.24	24.84	38.7	20.790000000000003	13.440000000000001	33.15	7.199999999999999	9.120000000000001	45.580000000000005	7.5600000000000005
107	2021-04-18	47.94	55.099999999999994	33.54	50.0	37.260000000000005	14.25	48.8	39.2	44.0	46.800000000000004	55.00000000000001	44.18	46.0	9.43	55.00000000000001	57.67
108	2021-04-19	31.569999999999997	31.39	28.0	40.940000000000005	25.2	34.86	45.82	40.18	41.65	47.58	31.919999999999998	35.72	23.43	38.64	40.29	20.65
109	2021-04-20	25.16	24.96	20.099999999999998	26.98	25.2	26.6	32.43	29.900000000000002	31.5	77.0	24.96	31.05	14.75	27.740000000000002	46.480000000000004	41.04
110	2021-04-21	17.98	18.810000000000002	14.5	21.080000000000002	15.120000000000001	22.94	23.65	18.330000000000002	17.36	42.74999999999999	16.43	28.08	10.92	11.0	41.18	41.0
111	2021-04-22	23.759999999999998	25.35	17.360000000000003	23.12	16.240000000000002	19.52	18.360000000000003	31.32	18.0	37.05	22.8	23.759999999999998	17.01	24.3	54.519999999999996	37.8
112	2021-04-23	54.0	57.99999999999999	42.0	59.0	54.0	47.5	80.0	79.0	33.11	29.700000000000003	56.26	28.98	43.65	51.0	51.46	46.739999999999995
113	2021-04-24	28.86	27.72	22.080000000000002	28.5	32.39	8.0	41.82	42.88	23.45	5.04	30.66	45.0	17.92	4.68	22.04	20.4
114	2021-04-25	21.42	23.56	17.080000000000002	23.45	17.98	5.44	36.04	35.1	15.81	11.16	27.88	42.239999999999995	18.09	1.56	30.08	13.26
115	2021-04-26	24.119999999999997	27.6	23.36	31.200000000000003	23.799999999999997	26.64	48.97	48.36	15.95	14.28	30.24	25.2	18.36	13.42	45.36000000000001	36.300000000000004
116	2021-04-27	19.8	21.349999999999998	17.689999999999998	24.79	17.7	24.8	28.799999999999997	28.05	25.53	17.0	21.96	24.0	12.24	19.040000000000003	24.84	23.76
117	2021-04-28	15.659999999999998	14.7	13.2	20.790000000000003	13.25	17.689999999999998	31.49	24.380000000000003	22.44	12.389999999999999	17.6	20.400000000000002	6.72	8.4	13.530000000000001	22.5
118	2021-04-29	14.000000000000002	13.629999999999999	10.34	15.400000000000002	14.3	16.8	18.91	23.65	12.420000000000002	17.6	12.88	17.82	6.12	14.030000000000001	10.64	30.400000000000002
119	2021-04-30	13.0	14.7	11.96	12.75	12.74	10.34	18.88	25.8	11.04	13.32	14.499999999999998	17.28	7.22	4.62	19.470000000000002	19.32
120	2021-05-01	7.5600000000000005	7.5600000000000005	4.83	7.539999999999999	6.4799999999999995	2.34	14.0	15.17	10.08	4.0	7.5600000000000005	5.6000000000000005	1.9600000000000002	1.9600000000000002	12.95	14.96
121	2021-05-02	6.0	7.0200000000000005	4.0	5.76	4.2	1.7999999999999998	7.199999999999999	16.34	15.96	11.899999999999999	6.44	8.370000000000001	2.3800000000000003	0.8400000000000001	9.520000000000001	8.68
122	2021-05-03	7.5600000000000005	8.7	5.0600000000000005	8.37	6.21	7.75	9.9	20.64	14.57	27.839999999999996	7.5600000000000005	9.450000000000001	3.61	7.77	11.22	14.850000000000001
123	2021-05-04	8.41	9.0	6.0	7.829999999999999	7.0200000000000005	9.5	12.24	33.15	23.4	22.790000000000003	8.96	16.830000000000002	3.61	8.14	18.33	24.18
124	2021-05-05	8.12	8.99	6.0	6.76	6.75	8.25	9.24	19.74	26.04	25.76	6.959999999999999	7.0	3.5999999999999996	9.18	14.620000000000001	17.39
125	2021-05-06	7.290000000000001	7.840000000000001	4.83	7.28	5.46	11.1	9.719999999999999	14.76	26.68	37.5	7.280000000000001	17.94	2.25	6.96	20.16	10.5
126	2021-05-07	6.5	7.0200000000000005	4.2	5.75	5.06	7.68	6.9	12.32	23.01	16.2	5.52	9.299999999999999	1.69	4.48	10.530000000000001	19.5
127	2021-05-08	6.76	7.290000000000001	4.84	4.4	5.76	3.04	14.7	15.959999999999999	21.419999999999998	33.040000000000006	5.25	11.889999999999999	2.72	1.32	16.38	13.69
128	2021-05-09	6.76	7.290000000000001	5.5200000000000005	5.52	7.0200000000000005	3.84	13.26	14.06	23.400000000000002	28.12	6.5	10.2	2.89	0.88	12.6	11.2
129	2021-05-10	7.840000000000001	8.99	5.76	6.25	7.840000000000001	8.32	13.26	16.34	24.7	76.23	7.249999999999999	8.51	3.61	9.92	29.28	31.849999999999998
130	2021-05-11	6.76	8.120000000000001	5.06	5.76	5.5200000000000005	8.0	14.8	20.58	24.599999999999998	32.489999999999995	7.199999999999999	9.9	3.42	4.08	30.159999999999997	16.45
131	2021-05-12	7.5600000000000005	8.12	5.75	5.52	5.52	11.7	14.35	16.77	19.38	26.400000000000002	7.4399999999999995	12.6	3.06	4.859999999999999	27.0	7.840000000000001
132	2021-05-13	47.57	30.800000000000004	42.25	32.48	33.6	55.88999999999999	34.16	46.15	47.84	54.75	30.159999999999997	35.64	27.560000000000002	27.95	42.21	15.08
133	2021-05-14	18.06	13.68	16.0	17.63	14.06	16.28	21.119999999999997	32.94	23.04	24.08	13.32	15.989999999999998	9.0	8.25	39.6	18.62
