unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1630332000,2021-08-30 14:00:00,BTC/USD,47786.04,47946.87,47632.90,47743.96,46.07532050,2199818.2589391796
1630328400,2021-08-30 13:00:00,BTC/USD,47598.01,47794.82,47364.83,47794.82,57.73550678,2759458.1541588795
1630324800,2021-08-30 12:00:00,BTC/USD,47950.00,47958.54,47531.60,47572.79,66.70711134,3173443.3992844387
1630321200,2021-08-30 11:00:00,BTC/USD,48047.70,48049.97,47667.00,47943.97,47.03068045,2254837.5325743863
1630317600,2021-08-30 10:00:00,BTC/USD,47938.09,48078.25,47832.31,48047.70,38.13296044,1832201.0433329877
1630314000,2021-08-30 09:00:00,BTC/USD,48113.21,48140.02,47922.51,47948.37,44.66804034,2141759.725397246
1630310400,2021-08-30 08:00:00,BTC/USD,47951.04,48234.60,47850.77,48112.89,89.86387852,4323610.902206123
1630306800,2021-08-30 07:00:00,BTC/USD,47975.49,48040.83,47756.30,47966.91,150.97845003,7241969.724528508
1630303200,2021-08-30 06:00:00,BTC/USD,48031.93,48134.42,47623.27,47997.36,108.02185737,5184763.976056543
1630299600,2021-08-30 05:00:00,BTC/USD,47862.46,48064.37,47792.66,48048.05,54.09886643,2599345.0391719616
1630296000,2021-08-30 04:00:00,BTC/USD,47949.55,48141.59,47782.38,47912.33,60.11857535,2880421.0212990656
1630292400,2021-08-30 03:00:00,BTC/USD,48410.00,48472.41,47854.25,48008.41,107.35412980,5153901.078631618
1630288800,2021-08-30 02:00:00,BTC/USD,48519.67,48664.07,48417.69,48419.34,51.22919330,2480483.7283184216
1630285200,2021-08-30 01:00:00,BTC/USD,48420.93,48726.39,48414.84,48544.82,33.44913483,1623782.2294780805
1630281600,2021-08-30 00:00:00,BTC/USD,48782.56,48915.29,48354.41,48429.93,24.23074572,1173493.3190673997
1630278000,2021-08-29 23:00:00,BTC/USD,49162.60,49295.62,48772.48,48808.72,17.87775451,872590.3141073271
1630274400,2021-08-29 22:00:00,BTC/USD,48927.65,49420.72,48927.65,49170.77,59.52622056,2926950.100125031
1630270800,2021-08-29 21:00:00,BTC/USD,48969.70,48997.86,48400.00,48927.65,36.73046099,1797135.1396573735
1630267200,2021-08-29 20:00:00,BTC/USD,48846.64,49048.10,48766.04,48932.26,32.32755907,1581860.5255785983
1630263600,2021-08-29 19:00:00,BTC/USD,48829.64,48903.47,48724.66,48830.47,19.71747304,962813.4757555289
1630260000,2021-08-29 18:00:00,BTC/USD,48831.07,48893.66,48700.00,48800.84,32.68967486,1595283.5924948822
1630256400,2021-08-29 17:00:00,BTC/USD,48708.01,48829.44,48553.71,48807.84,11.66265052,569228.7805560768
1630252800,2021-08-29 16:00:00,BTC/USD,48523.66,48849.00,48370.84,48706.06,23.22197593,1131050.9529651357
1630249200,2021-08-29 15:00:00,BTC/USD,48247.26,48539.63,48200.00,48497.94,18.54911269,899593.7542928586
1630245600,2021-08-29 14:00:00,BTC/USD,48343.03,48537.42,48248.33,48260.53,15.77088050,761111.051496665
1630242000,2021-08-29 13:00:00,BTC/USD,48382.65,48573.09,48334.15,48361.35,20.76138502,1004048.6074369769
1630238400,2021-08-29 12:00:00,BTC/USD,48178.75,48470.11,48112.80,48388.76,27.18235720,1315320.558785072
1630234800,2021-08-29 11:00:00,BTC/USD,48585.63,48629.99,48180.72,48180.72,28.23282580,1360277.8746785761
1630231200,2021-08-29 10:00:00,BTC/USD,48599.92,48684.00,48435.06,48576.78,27.42703425,1332317.0088147148
1630227600,2021-08-29 09:00:00,BTC/USD,48539.09,48599.99,48331.32,48599.99,37.68107495,1831299.8657592505
1630224000,2021-08-29 08:00:00,BTC/USD,48539.05,48657.66,48335.26,48539.09,44.04805958,2138052.728278982
1630220400,2021-08-29 07:00:00,BTC/USD,48469.35,48639.65,48403.17,48539.91,27.04039463,1312538.3217046834
1630216800,2021-08-29 06:00:00,BTC/USD,48345.45,48570.00,48282.11,48470.53,116.29907185,5637077.651077581
1630213200,2021-08-29 05:00:00,BTC/USD,48165.67,48412.92,48138.42,48369.05,94.92984478,4591666.408656059
1630209600,2021-08-29 04:00:00,BTC/USD,48200.88,48343.59,47798.29,48191.46,63.52808229,3061511.036555243
1630206000,2021-08-29 03:00:00,BTC/USD,48577.47,48723.73,48102.99,48267.24,88.23297839,4258762.343864944
1630202400,2021-08-29 02:00:00,BTC/USD,49388.76,49425.64,48459.54,48631.32,31.09092922,1511992.9279951705
1630198800,2021-08-29 01:00:00,BTC/USD,49612.58,49666.00,49321.84,49376.42,21.97984693,1085286.1535513906
1630195200,2021-08-29 00:00:00,BTC/USD,48947.10,49658.60,48779.87,49601.67,147.97424278,7339769.558873442
1630191600,2021-08-28 23:00:00,BTC/USD,48744.59,48939.14,48714.74,48935.36,6.43443858,314871.5683101888
1630188000,2021-08-28 22:00:00,BTC/USD,48994.96,49014.87,48714.58,48740.59,30.84591396,1503448.0454996363
1630184400,2021-08-28 21:00:00,BTC/USD,48767.67,49000.47,48704.56,48984.34,18.17568420,890323.894585428
1630180800,2021-08-28 20:00:00,BTC/USD,48694.06,48772.16,48596.72,48772.16,17.07281604,832678.1155534465
1630177200,2021-08-28 19:00:00,BTC/USD,48821.36,48821.36,48525.14,48677.19,31.13579423,1515602.9715346138
1630173600,2021-08-28 18:00:00,BTC/USD,49052.20,49123.79,48776.37,48800.47,7.77194378,379274.5092775766
1630170000,2021-08-28 17:00:00,BTC/USD,49004.77,49084.58,48948.00,49055.78,26.08415466,1279578.5524869347
1630166400,2021-08-28 16:00:00,BTC/USD,48842.02,49184.00,48758.43,49004.61,31.52202255,1544724.4214739555
1630162800,2021-08-28 15:00:00,BTC/USD,48664.60,48842.02,48532.51,48842.02,18.02207683,880234.6369723965
1630159200,2021-08-28 14:00:00,BTC/USD,48758.78,48758.78,48244.88,48654.23,77.52500945,3771919.6405324736
1630155600,2021-08-28 13:00:00,BTC/USD,48892.13,48952.25,48714.58,48752.86,13.08606135,637982.916947961
1630152000,2021-08-28 12:00:00,BTC/USD,48716.08,48987.69,48549.61,48898.32,55.73760916,2725475.4487406113
1630148400,2021-08-28 11:00:00,BTC/USD,48881.25,48926.06,48669.24,48730.39,42.19090105,2055979.0626179096
1630144800,2021-08-28 10:00:00,BTC/USD,48963.19,48990.98,48866.42,48881.98,16.99415736,830708.0601883729
1630141200,2021-08-28 09:00:00,BTC/USD,48951.92,49102.37,48908.45,48958.39,18.79973112,920404.5680680968
1630137600,2021-08-28 08:00:00,BTC/USD,48971.83,49093.83,48934.22,48943.26,44.06696966,2156781.1534814914
1630134000,2021-08-28 07:00:00,BTC/USD,48996.19,49025.37,48848.89,48984.77,19.95909065,977691.4648994005
1630130400,2021-08-28 06:00:00,BTC/USD,48877.21,49113.04,48674.94,49027.92,25.92931169,1271260.2191923847
1630126800,2021-08-28 05:00:00,BTC/USD,48970.05,49071.94,48895.90,48910.85,17.17487559,840037.7637511514
1630123200,2021-08-28 04:00:00,BTC/USD,48890.93,49116.09,48890.93,48982.73,18.11937012,887536.2143580277
1630119600,2021-08-28 03:00:00,BTC/USD,48974.54,49059.80,48890.93,48890.93,14.03565714,686216.3307357401
1630116000,2021-08-28 02:00:00,BTC/USD,49175.80,49175.80,48893.35,48974.54,21.85466798,1070322.3111732292
1630112400,2021-08-28 01:00:00,BTC/USD,49290.37,49325.00,49068.37,49185.55,33.86836079,1665833.9530545846
1630108800,2021-08-28 00:00:00,BTC/USD,49100.49,49315.00,48875.00,49254.12,86.29926757,4250594.4808048885
1630105200,2021-08-27 23:00:00,BTC/USD,49066.42,49139.95,48906.19,49100.49,55.79022779,2739327.521700617
1630101600,2021-08-27 22:00:00,BTC/USD,48999.57,49069.38,48725.00,49014.60,36.28697640,1778591.63345544
1630098000,2021-08-27 21:00:00,BTC/USD,48995.23,49089.58,48889.00,49005.09,58.16773003,2850514.8452158524
1630094400,2021-08-27 20:00:00,BTC/USD,48332.44,49187.00,48188.88,48950.41,128.32647650,6281633.638530366
1630090800,2021-08-27 19:00:00,BTC/USD,48348.85,48594.59,48298.26,48339.59,113.36488478,5480012.050662439
1630087200,2021-08-27 18:00:00,BTC/USD,48222.00,48399.66,48146.69,48348.85,30.26865228,1463454.528787878
1630083600,2021-08-27 17:00:00,BTC/USD,48219.40,48389.40,48161.83,48207.62,34.58200178,1667116.0006495637
1630080000,2021-08-27 16:00:00,BTC/USD,48220.11,48316.26,48021.78,48219.40,43.14521026,2080436.151611044
1630076400,2021-08-27 15:00:00,BTC/USD,48158.47,48450.00,48155.91,48215.45,108.41486818,5227271.655989381
1630072800,2021-08-27 14:00:00,BTC/USD,47299.28,48289.98,47206.55,48153.73,412.02223933,19840407.6666922
1630069200,2021-08-27 13:00:00,BTC/USD,47359.84,47410.09,47069.73,47318.29,78.43979759,3711637.089904921
1630065600,2021-08-27 12:00:00,BTC/USD,47520.11,47564.88,47261.65,47372.22,44.85131812,2124706.5092706266
1630062000,2021-08-27 11:00:00,BTC/USD,47419.53,47800.00,47376.80,47495.00,131.05971884,6224681.3463058
1630058400,2021-08-27 10:00:00,BTC/USD,47221.61,47525.35,47221.60,47433.09,120.46645190,5714096.05495337
1630054800,2021-08-27 09:00:00,BTC/USD,47158.93,47341.71,47000.00,47214.35,30.48535243,1439346.0995033705
1630051200,2021-08-27 08:00:00,BTC/USD,47501.03,47579.77,47160.00,47176.97,54.18461166,2556265.79874547
1630047600,2021-08-27 07:00:00,BTC/USD,47195.96,47556.49,46872.64,47501.64,93.15197774,4424871.711893494
1630044000,2021-08-27 06:00:00,BTC/USD,47162.44,47279.51,47060.99,47188.97,42.48455452,2004802.3687076445
1630040400,2021-08-27 05:00:00,BTC/USD,46926.69,47212.54,46868.55,47117.12,60.51225188,2851163.0333001856
1630036800,2021-08-27 04:00:00,BTC/USD,46861.11,47010.01,46585.00,46937.27,60.60211688,2844497.9225681173
1630033200,2021-08-27 03:00:00,BTC/USD,47273.95,47273.95,46708.88,46830.50,20.82534389,975261.267040645
1630029600,2021-08-27 02:00:00,BTC/USD,47290.10,47489.86,47214.29,47226.46,22.88967537,1080998.33827429
1630026000,2021-08-27 01:00:00,BTC/USD,47267.89,47655.93,47168.60,47247.65,70.46317536,3329219.4472979037
1630022400,2021-08-27 00:00:00,BTC/USD,46857.86,47300.00,46363.00,47271.95,92.77164247,4385496.444259716
1630018800,2021-08-26 23:00:00,BTC/USD,47207.88,47412.32,46793.68,46856.29,56.45263209,2645160.900472346
1630015200,2021-08-26 22:00:00,BTC/USD,47293.53,47457.61,47160.00,47178.77,30.27802627,1428480.037446288
1630011600,2021-08-26 21:00:00,BTC/USD,47048.88,47335.36,47017.05,47278.85,47.07519285,2225660.9814762226
1630008000,2021-08-26 20:00:00,BTC/USD,46944.84,47077.12,46849.45,47024.56,57.95736769,2725419.7143804664
1630004400,2021-08-26 19:00:00,BTC/USD,47014.95,47052.44,46763.50,46967.83,96.53150600,4533875.36345198
1630000800,2021-08-26 18:00:00,BTC/USD,47016.55,47080.47,46728.08,46997.26,51.75014485,2432115.012553111
1629997200,2021-08-26 17:00:00,BTC/USD,46918.05,47132.39,46900.00,46978.56,19.57209370,919468.778211072
1629993600,2021-08-26 16:00:00,BTC/USD,46813.73,47080.68,46510.00,46881.67,48.59340717,2278140.079119574
1629990000,2021-08-26 15:00:00,BTC/USD,46844.79,47080.11,46646.70,46790.14,59.42587851,2780545.175105891
1629986400,2021-08-26 14:00:00,BTC/USD,47200.04,47430.67,46838.11,46861.64,62.99694707,2952140.2546933945
1629982800,2021-08-26 13:00:00,BTC/USD,46954.17,47299.99,46881.74,47200.04,89.45917870,4222476.813007148
1629979200,2021-08-26 12:00:00,BTC/USD,46831.35,47423.50,46309.33,46950.75,147.71446598,6935304.963610485
1629975600,2021-08-26 11:00:00,BTC/USD,46998.80,47221.80,46835.53,46835.53,70.16716227,3286316.2335114535
1629972000,2021-08-26 10:00:00,BTC/USD,46803.26,47085.09,46749.66,46967.69,55.88834250,2624946.3451538254
1629968400,2021-08-26 09:00:00,BTC/USD,46931.23,47017.70,46752.33,46752.33,63.53448268,2970385.1006346447
1629964800,2021-08-26 08:00:00,BTC/USD,46903.17,47105.92,46716.06,46931.95,114.72020651,5384042.995916994
