	date	bitcoin_unscaled	bitcoin_monthly	scale	bitcoin
172	2021-01-20	41	54.0	0.54	22.14
173	2021-01-21	51	54.0	0.54	27.540000000000003
174	2021-01-22	54	54.0	0.54	29.160000000000004
175	2021-01-23	39	54.0	0.54	21.060000000000002
176	2021-01-24	35	51.0	0.51	17.85
177	2021-01-25	37	51.0	0.51	18.87
178	2021-01-26	35	51.0	0.51	17.85
179	2021-01-27	38	51.0	0.51	19.38
180	2021-01-28	40	51.0	0.51	20.4
181	2021-01-29	62	51.0	0.51	31.62
182	2021-01-30	44	51.0	0.51	22.44
183	2021-01-31	35	44.0	0.44	15.4
184	2021-02-01	38	44.0	0.44	16.72
185	2021-02-02	35	44.0	0.44	15.4
186	2021-02-03	37	44.0	0.44	16.28
187	2021-02-04	39	44.0	0.44	17.16
188	2021-02-05	35	44.0	0.44	15.4
189	2021-02-06	43	44.0	0.44	18.92
190	2021-02-07	38	77.0	0.77	29.26
191	2021-02-08	84	77.0	0.77	64.68
192	2021-02-09	100	77.0	0.77	77.0
193	2021-02-10	66	77.0	0.77	50.82
194	2021-02-11	59	77.0	0.77	45.43
195	2021-02-12	57	77.0	0.77	43.89
196	2021-02-13	51	77.0	0.77	39.27
197	2021-02-14	53	74.0	0.74	39.22
198	2021-02-15	53	74.0	0.74	39.22
199	2021-02-16	61	74.0	0.74	45.14
200	2021-02-17	69	74.0	0.74	51.06
201	2021-02-18	64	74.0	0.74	47.36
202	2021-02-19	69	74.0	0.74	51.06
203	2021-02-20	79	74.0	0.74	58.46
204	2021-02-21	68	83.0	0.83	56.44
205	2021-02-22	75	83.0	0.83	62.25
206	2021-02-23	97	83.0	0.83	80.50999999999999
207	2021-02-24	74	83.0	0.83	61.419999999999995
208	2021-02-25	59	83.0	0.83	48.97
209	2021-02-26	59	83.0	0.83	48.97
210	2021-02-27	49	83.0	0.83	40.669999999999995
211	2021-02-28	54	52.0	0.52	28.080000000000002
212	2021-03-01	94	52.0	0.52	48.88
213	2021-03-02	81	52.0	0.52	42.120000000000005
214	2021-03-03	81	52.0	0.52	42.120000000000005
215	2021-03-04	74	52.0	0.52	38.480000000000004
216	2021-03-05	73	52.0	0.52	37.96
217	2021-03-06	62	52.0	0.52	32.24
218	2021-03-07	67	54.0	0.54	36.18
219	2021-03-08	73	54.0	0.54	39.42
220	2021-03-09	88	54.0	0.54	47.52
